"IV1_race","IV2_diagnosis","condition","socialdistance_1","socialdistance_2","socialdistance_3","blame_1","blame_2","blame_3","danger_1","danger_2","danger_3","concern_1","concern_2","concern_3","help_1","help_2","gender","age","ethnicity","community","political_affiliation","contact_homeless","social_desirability"
1,3,3,5,6,5,1,1,7,3,3,1,7,7,7,6,4,2,47,2,2,2,2,9
1,3,3,3,2,3,3,3,5,5,6,6,4,5,7,3,1,2,18,3,2,1,2,6
1,3,3,4,5,4,2,1,7,4,5,4,5,5,6,4,2,2,22,3,3,1,2,8
1,3,3,4,6,6,4,3,4,2,2,2,4,4,5,6,6,1,NA,4,2,2,3,10
1,3,3,7,5,5,1,1,7,4,1,2,7,7,7,7,6,2,41,1,1,3,3,8
1,3,3,6,2,4,3,3,5,3,3,4,3,5,4,5,NA,1,61,2,1,2,2,7
1,3,3,5,5,4,1,1,1,5,4,3,7,7,7,3,3,2,22,2,1,1,6,5
1,3,3,5,6,6,1,1,7,2,2,2,7,7,7,6,2,1,53,2,2,3,3,8
1,3,3,3,3,3,1,2,6,2,4,3,4,5,4,2,1,2,20,3,2,1,2,4
1,3,3,3,2,2,1,1,7,3,4,2,7,7,7,1,1,2,21,1,3,1,2,2
1,3,3,7,6,7,2,2,5,3,3,1,7,7,7,7,4,1,25,5,2,1,1,7
1,3,3,4,5,5,5,4,4,4,3,4,3,3,4,2,2,2,50,1,2,1,3,11
1,3,3,3,2,2,3,3,2,4,4,4,6,6,4,4,2,1,56,2,2,3,3,9
1,3,3,4,3,6,1,1,6,6,5,4,5,6,6,2,2,2,38,2,1,1,3,5
1,3,3,5,3,4,3,3,4,5,5,4,6,4,7,5,4,2,56,1,2,3,3,9
1,3,3,5,7,4,4,3,4,4,1,4,NA,7,7,7,7,1,47,1,2,2,6,3
1,3,3,6,7,7,1,1,7,5,1,2,5,7,6,7,7,1,46,3,2,2,2,9
2,1,4,5,7,5,1,2,6,2,1,1,6,7,7,7,6,1,30,1,2,1,5,5
2,1,4,7,5,7,4,3,4,1,1,1,4,4,1,6,4,1,53,1,2,2,3,9
2,1,4,6,4,6,1,2,5,2,3,1,4,6,7,3,3,2,58,1,2,2,5,8
2,1,4,5,6,6,6,4,3,2,2,2,6,5,5,7,6,1,32,4,2,2,3,11
2,1,4,5,6,5,3,3,5,3,4,3,5,4,6,4,3,2,22,2,1,2,7,0
2,1,4,3,4,3,4,4,5,4,4,4,6,6,6,4,4,1,50,2,2,3,2,9
2,1,4,7,5,7,4,3,4,2,2,2,4,4,5,5,5,2,62,2,4,1,2,10
2,1,4,7,2,5,2,3,4,1,3,1,7,7,7,4,3,2,65,2,1,3,2,9
2,1,4,6,4,6,2,2,4,1,1,1,5,6,5,4,3,2,19,2,2,1,4,12
2,1,4,7,7,7,3,2,4,2,2,1,7,6,6,7,5,2,20,2,1,1,4,5
2,1,4,7,7,7,1,1,7,1,2,1,6,7,7,7,6,2,20,3,3,1,2,6
2,1,4,3,7,7,4,3,3,4,3,2,3,5,5,2,2,2,19,2,2,2,1,9
2,1,4,7,5,4,5,3,5,6,5,4,6,6,7,5,6,2,59,2,3,3,3,6
2,1,4,3,2,3,4,3,4,3,3,3,4,4,5,4,3,2,32,3,2,2,3,7
2,1,4,4,1,2,2,2,6,1,2,2,6,7,7,4,2,2,57,2,2,1,2,10
2,1,4,7,7,7,1,2,6,1,1,1,5,6,5,5,7,1,56,2,1,2,3,5
2,1,4,5,4,5,2,1,4,2,2,1,5,5,5,4,4,1,20,2,1,1,2,8
2,1,4,6,5,7,1,1,7,1,3,1,7,7,7,5,5,2,21,3,1,1,5,11
2,1,4,7,6,7,1,1,7,3,5,4,7,4,7,7,5,1,18,1,2,1,4,5
2,1,4,7,4,4,2,2,4,1,1,1,4,7,7,7,6,1,78,2,2,2,4,8
2,1,4,4,2,5,2,2,5,3,5,2,5,4,5,3,3,2,21,2,1,2,2,3
2,1,4,6,5,6,3,2,4,4,3,4,5,4,7,4,4,2,69,6,2,2,4,8
2,1,4,7,6,6,1,1,7,1,1,1,7,7,5,1,1,2,20,3,2,1,6,4
2,1,4,7,4,5,3,2,6,3,3,2,6,6,5,5,4,2,20,5,3,2,3,8
2,1,4,6,4,7,4,4,4,2,2,2,4,2,6,6,4,2,57,2,1,2,3,10
2,1,4,5,7,7,2,2,5,2,2,2,3,5,6,6,4,2,55,2,2,2,3,5
